x,y,yaw
6.60056e-09,-1.52216e-21,-3.4328e-13
8.01127e-09,-1.84749e-21,-4.17578e-13
8.6491e-09,-1.99458e-21,-4.42507e-13
9.00647e-09,-2.07699e-21,-4.65725e-13
9.22358e-09,-2.12706e-21,-4.88042e-13
9.35981e-09,-2.15848e-21,-4.92371e-13
9.44643e-09,-2.17845e-21,-4.91257e-13
9.50182e-09,-2.19123e-21,-4.98134e-13
9.53731e-09,-2.19941e-21,-5.10041e-13
9.56007e-09,-2.20466e-21,-5.05972e-13
9.57466e-09,-2.20802e-21,-5.00522e-13
9.58404e-09,-2.21019e-21,-5.04548e-13
9.59006e-09,-2.21158e-21,-5.14609e-13
9.59362e-09,-2.21228e-21,-1.06311e-13
9.5962e-09,-2.21291e-21,-2.46367e-13
9.59786e-09,-2.21332e-21,-3.43775e-13
9.59891e-09,-2.21358e-21,-3.98902e-13
9.59959e-09,-2.21375e-21,-4.29288e-13
9.60003e-09,-2.21386e-21,-4.5633e-13
9.60032e-09,-2.21393e-21,-4.81187e-13
9.60049e-09,-2.21397e-21,-4.86907e-13
9.60061e-09,-2.214e-21,-4.88797e-13
9.60068e-09,-2.21402e-21,-4.97538e-13
9.60074e-09,-2.21404e-21,-5.10618e-13
9.60076e-09,-2.21404e-21,-4.99837e-13
9.60078e-09,-2.21405e-21,-5.00472e-13
9.6008e-09,-2.21405e-21,-5.0689e-13
9.6008e-09,-2.21405e-21,-5.03018e-13
9.6008e-09,-2.21405e-21,-4.9748e-13
9.60081e-09,-2.21405e-21,-5.01471e-13
9.60082e-09,-2.21406e-21,-5.11515e-13
9.60081e-09,-2.21405e-21,-5.00421e-13
9.60081e-09,-2.21405e-21,-5.0085e-13
9.60082e-09,-2.21406e-21,-5.0863e-13
9.60081e-09,-2.21405e-21,-5.03244e-13
9.60081e-09,-2.21405e-21,-5.00864e-13
9.60082e-09,-2.21406e-21,-5.06846e-13
9.60081e-09,-2.21405e-21,-5.0188e-13
9.60081e-09,-2.21405e-21,-4.98551e-13
9.60082e-09,-2.21405e-21,-5.03946e-13
9.60081e-09,-2.21405e-21,-4.99874e-13
9.60081e-09,-2.21405e-21,-4.96188e-13
9.60081e-09,-2.21405e-21,-5.01354e-13
9.60082e-09,-2.21406e-21,-5.10652e-13
9.60081e-09,-2.21405e-21,-5.00862e-13
9.60082e-09,-2.21405e-21,-5.02109e-13
9.60082e-09,-2.21406e-21,-5.10405e-13
9.60081e-09,-2.21405e-21,-5.00301e-13
9.60082e-09,-2.21405e-21,-5.01361e-13
9.60082e-09,-2.21406e-21,-5.09533e-13
9.60081e-09,-2.21405e-21,-4.99691e-13
9.60082e-09,-2.21405e-21,-5.00918e-13
9.60082e-09,-2.21406e-21,-5.09198e-13
9.60081e-09,-2.21405e-21,-4.99771e-13
9.60082e-09,-2.21405e-21,-5.01257e-13
9.60082e-09,-2.21406e-21,-5.09711e-13
9.60082e-09,-2.21405e-21,-5.01044e-13
9.60082e-09,-2.21405e-21,-5.03022e-13
9.60082e-09,-2.21406e-21,-5.10281e-13
9.60082e-09,-2.21405e-21,-5.01541e-13
9.60082e-09,-2.21405e-21,-5.03463e-13
9.60081e-09,-2.21405e-21,-4.97992e-13
9.60081e-09,-2.21405e-21,-4.9597e-13
9.60082e-09,-2.21405e-21,-5.02191e-13
9.60081e-09,-2.21405e-21,-4.9678e-13
9.60081e-09,-2.21405e-21,-4.98519e-13
9.60082e-09,-2.21406e-21,-5.07115e-13
9.60082e-09,-2.21405e-21,-5.01951e-13
9.60082e-09,-2.21406e-21,-5.06146e-13
9.60064e-09,-2.21395e-21,-2.5255e-13
9.6007e-09,-2.21399e-21,-3.43624e-13
9.60074e-09,-2.21401e-21,-3.93722e-13
9.60076e-09,-2.21402e-21,-4.30933e-13
9.60079e-09,-2.21403e-21,-4.62319e-13
9.60079e-09,-2.21404e-21,-4.73538e-13
9.60081e-09,-2.21405e-21,-4.88251e-13
9.60081e-09,-2.21405e-21,-4.89101e-13
9.60081e-09,-2.21405e-21,-4.97172e-13
9.60081e-09,-2.21405e-21,-4.94414e-13
9.60081e-09,-2.21405e-21,-5.00164e-13
9.60081e-09,-2.21405e-21,-4.96599e-13
9.60082e-09,-2.21405e-21,-5.01831e-13
9.60081e-09,-2.21405e-21,-4.98313e-13
9.60082e-09,-2.21405e-21,-5.03559e-13
9.60082e-09,-2.21405e-21,-5.00715e-13
9.60082e-09,-2.21405e-21,-5.02136e-13
9.60082e-09,-2.21405e-21,-5.01775e-13
9.60081e-09,-2.21405e-21,-4.93118e-13
9.60081e-09,-2.21405e-21,-4.97147e-13
9.60081e-09,-2.21405e-21,-4.95552e-13
9.60081e-09,-2.21405e-21,-5.00621e-13
9.60082e-09,-2.21405e-21,-5.01496e-13
9.60081e-09,-2.21405e-21,-4.98599e-13
9.60081e-09,-2.21405e-21,-4.91466e-13
9.60081e-09,-2.21405e-21,-4.96873e-13
9.60081e-09,-2.21405e-21,-4.98226e-13
9.60081e-09,-2.21405e-21,-4.97658e-13
9.60081e-09,-2.21405e-21,-4.96536e-13
9.60074e-09,-2.21401e-21,-3.89519e-13
9.60076e-09,-2.21403e-21,-4.27996e-13
9.60078e-09,-2.21404e-21,-4.54327e-13
9.60079e-09,-2.21404e-21,-4.72037e-13
9.6008e-09,-2.21405e-21,-4.82587e-13
9.6008e-09,-2.21404e-21,-4.74676e-13
9.60079e-09,-2.21404e-21,-4.69598e-13
9.60079e-09,-2.21404e-21,-4.66339e-13
9.60079e-09,-2.21404e-21,-4.64247e-13
9.60079e-09,-2.21404e-21,-4.62904e-13
9.60079e-09,-2.21404e-21,-4.62043e-13
9.60079e-09,-2.21404e-21,-4.6149e-13
9.60079e-09,-2.21404e-21,-4.61135e-13
9.60079e-09,-2.21404e-21,-4.60907e-13
