x,y,yaw
-0.0421236,-0.0546021,-0.0501419
-0.0769759,-0.0941735,-0.0942909
-0.115538,-0.138591,-0.125033
-0.131297,-0.159636,-0.154533
-0.165414,-0.169645,-0.186621
-0.186513,-0.184265,-0.213939
-0.200867,-0.194348,-0.221935
-0.217392,-0.197977,-0.238355
-0.218465,-0.202555,-0.245762
-0.200832,-0.230593,-0.233799
-0.191488,-0.258969,-0.230514
-0.182881,-0.261881,-0.232359
-0.163667,-0.257725,-0.253239
-0.154858,-0.253481,-0.257354
-0.162982,-0.247582,-0.267187
-0.141433,-0.241316,-0.264258
-0.132583,-0.243909,-0.259782
-0.141322,-0.257694,-0.248208
-0.156441,-0.274562,-0.246679
-0.188584,-0.28687,-0.227181
-0.202429,-0.279176,-0.242152
-0.214545,-0.264189,-0.240221
-0.229556,-0.252679,-0.253366
-0.25787,-0.258152,-0.265619
-0.273806,-0.280101,-0.277767
-0.305484,-0.300752,-0.283812
-0.325603,-0.318119,-0.302249
-0.337974,-0.332092,-0.29016
-0.368167,-0.348994,-0.302249
-0.375392,-0.350095,-0.294518
-0.388295,-0.349418,-0.316005
-0.407399,-0.340223,-0.314357
-0.412116,-0.322348,-0.33624
-0.371058,-0.324108,-0.351708
-0.312301,-0.332909,-0.360954
-0.309449,-0.359373,-0.352845
-0.346568,-0.378122,-0.36363
-0.347673,-0.363334,-0.345841
-0.372581,-0.381267,-0.326966
-0.377824,-0.386758,-0.315953
-0.387445,-0.394032,-0.315678
-0.384023,-0.403308,-0.310543
-0.388058,-0.41943,-0.308959
-0.397369,-0.441401,-0.333582
-0.428031,-0.444048,-0.350425
-0.440893,-0.426857,-0.360641
-0.439705,-0.435343,-0.336418
-0.44398,-0.445718,-0.323441
-0.45758,-0.427452,-0.287146
-0.464444,-0.38436,-0.235774
-0.447226,-0.359623,-0.241342
-0.436128,-0.364737,-0.269012
-0.444493,-0.380472,-0.289312
-0.465126,-0.375549,-0.340352
-0.471938,-0.344959,-0.376087
-0.478067,-0.339047,-0.390599
-0.442105,-0.349399,-0.37892
-0.443512,-0.33102,-0.392303
-0.439829,-0.288116,-0.397057
-0.435224,-0.274648,-0.367671
-0.354086,-0.262333,-0.29842
-0.311693,-0.273656,-0.261173
-0.288192,-0.291778,-0.256682
-0.290654,-0.307916,-0.262734
